artist,title
Leona Lewis,Bleeding Love
Alicia Keys,No One
Katy Perry,I Kissed A Girl
P!NK ,So What
Katy Perry ,Hot N Cold
Lana Del Rey,Young and Beautiful
Beyoncé ,Single Ladies
Akon ,Right Now
Flo Rida ,Good Feeling
Eminem ft. Rihanna ,The Monster
Ariana Grande ,7 rings
"David Guetta, Bebe Rexha & J Balvin ",Say My Name
Ariana Grande  ft. Iggy Azalea,Problem
MAGIC! ,Rude
Ellie Goulding ,Love Me Like You Do
Drake ,Hotline Bling
Rihanna ft. Drake,Work
Lukas Graham,7 Years
The Chainsmokers ,Don't Let Me Down
The Chainsmokers  ft. Halsey,Closer 
Bruno Mars ,24K Magic
Dua Lipa ,New Rules
Post Malone ft. 21 Savage,Rockstar
Camila Cabello  ft. Young Thug,Havana
Maroon 5 ft. Cardi B,Girls Like You
Billie Eilish ,Bad guy
"Shawn Mendes, Camila Cabello ",Señorita
Dua Lipa ,Don't Start Now
SAINt JHN (Imanbek Remix),Roses
BTS ,Dynamite
Marshmello & Anne-Marie ,FRIENDS
Naughty Boy ft. Sam Smith,La la la
David Guetta Feat. Kid Cudi,Memories
Michel Teló ,Ai Se Eu Te Pego
"Pitbull ft. Ne-Yo, Afrojack, Nayer",Give Me Everything 
Jennifer Lopez,On The Floor ft. Pitbull
"LMFAO ft. Lauren Bennett, GoonRock",Party Rock Anthem
Carly Rae Jepsen,Call Me Maybe
Icona Pop feat. Charli XCX,I Love It
Adele ,Skyfall
Sia ,Unstoppable
Avicii ,Waiting For Love
Coldplay ,Paradise
Bon Jovi ,It's My Life
Evanescence,Bring Me To Life
The Cardigans ,My Favourite Game
The Prodigy ,Firestarter
Cardi B ,Bodak Yellow
Amy Winehouse ,Back To Black
Indila ,Dernière Danse
Rihanna ft. Drake,What's My Name?
Meghan Trainor ,All About That Bass
Ke$ha,TiK ToK
Eminem ,Without Me
John Newman,Love Me Again
2Pac,Changes ft. Talent
The Weeknd  ft. Daft Punk,I Feel It Coming
P!nk ft. Nate Ruess,Just Give Me A Reason
WALK THE MOON,Shut Up and Dance
Anne-Marie ,2002
Christina Aguilera ,Something's Got a Hold On Me
P!NK,What About Us
Shaggy ft. Rayvon,Angel
The Killers,Somebody Told Me
The Offspring ,The Kids Aren't Alright
Blink-182,All The Small Things
Red Hot Chili Peppers ,Can't Stop
Mariah Carey ,All I Want for Christmas Is You
Lil Peep,benz truck
Taylor Swift ,Anti-Hero
The Black Eyed Peas ,I Gotta Feeling
Bruno Mars,Grenade
Tom Odell ,Another Love
Shawn Mendes,There's Nothing Holdin' Me Back
Oasis,Wonderwall
Mike Posner ,I Took A Pill In Ibiza
The Killers,Mr. Brightside
Alan Walker,Faded
Pixies ,Where Is My Mind
Maroon 5,Memories
Imagine Dragons,Demons
DJ Snake ft. Justin Bieber,Let Me Love You
X Ambassadors,Renegades
Drake,God's Plan
The Weeknd,Starboy ft. Daft Punk
Glass Animals ,Heat Waves
Roxette ,It Must Have Been Love
Guns N' Roses ,November Rain
Vanilla Ice ,Ice Ice Baby
Scorpions ,Wind Of Change
Oliver Tree & Robin Schulz ,Miss You
TLC ,No Scrubs
